n_streams,aggregate_fps,per_stream_fps,wall_s,power_mw
1,29.76,29.76,20.02,
2,61.13,30.56,19.5,
3,93.53,31.18,19.12,
4,110.36,27.59,21.6,
6,111.4,18.57,32.1,
