n_streams,aggregate_fps,per_stream_fps,wall_s,power_mw
1,85.52,85.52,6.97,
2,186.87,93.44,6.38,
3,162.32,54.11,11.02,
4,174.01,43.5,13.7,
6,208.98,34.83,17.11,
8,204.85,25.61,23.28,
12,205.43,17.12,34.82,
